team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Villarreal CF,Villarreal,2023/2024,Spain,28,14,14,0,9,4,5,8,4,4,11,6,5,1.25,1.14,1.36,11,15,6,11,46,51,-5,97,48,49,24,22,24,27,0,-5,55,53,57,49,53,47,3,1,2,23,12,11,4,2,2,12,5,7,141,89,52,86,33,53,50,54,46,266,155,111,154,86,68,112,69,43,344,179,165,19,9,10,26,12,14,-7,-3,-4,6,3,3,12,6,6,10,5,5,1.07,1.07,1.07,3.46,3.43,3.5,1.64,1.71,1.57,1.82,1.71,1.93,1.61,1.5,1.71,0.68,0.64,0.71,0.93,0.86,1,26,25,19,13,8,3,13,13,10,5,4,2,13,12,9,8,4,1,2,3,9,15,20,25,1,1,4,9,10,12,1,2,5,6,10,13,93,89,68,46,29,11,93,93,71,36,29,14,93,86,64,57,29,7,7,11,32,54,71,89,7,7,29,64,71,86,7,14,36,43,71,93,21,14,7,10,6,4,11,8,3,75,50,25,71,43,29,79,57,21,32,29,36,5,11,7,14,82,86,79,14,14,14,43,36,50,12,7,5,43,50,36,15,9,6,54,64,43,8,2,6,29,14,43,21,21,21,43,43,43,36,36,36,5.04,6.36,3.71,3.07,2.36,3.79,93,89,82,75,50,36,21,18,1.17,1.36,0.98,1.65,1.47,1.82,129,2,6,3,4,10,4,5,4,8,3,5,9,3,8,7,6,5,5,29,29,29,39,43,36,14
FC Barcelona,FC Barcelona,2023/2024,Spain,28,15,13,0,18,11,7,7,1,6,3,3,0,2.18,2.27,2.08,3,4,2,3,57,34,23,91,52,39,33,24,19,15,14,9,44,41,49,74,71,78,11,8,3,17,7,10,2,0,2,18,11,7,173,104,69,66,32,34,65,65,65,358,215,143,204,121,83,154,94,60,310,168,142,16,8,8,15,7,8,1,1,0,8,4,4,12,7,5,8,4,4,1.29,1.27,1.31,3.25,3.47,3,2.04,2.2,1.85,1.21,1.27,1.15,1.11,1,1.23,0.57,0.53,0.62,0.54,0.47,0.62,26,20,17,12,8,5,15,10,9,7,6,3,11,10,8,5,2,2,2,8,11,16,20,23,0,5,6,8,9,12,2,3,5,8,11,11,93,71,61,43,29,18,100,67,60,47,40,20,85,77,62,38,15,15,7,29,39,57,71,82,0,33,40,53,60,80,15,23,38,62,85,85,19,7,4,10,4,1,9,3,3,68,25,14,67,27,7,69,23,23,64,73,54,2,39,53,23,61,47,77,7,0,15,64,73,54,17,9,8,61,60,62,14,8,6,50,53,46,6,3,3,21,20,23,29,27,31,43,47,38,29,27,31,6.18,6.93,5.31,2.36,2.13,2.62,86,75,64,54,46,36,21,14,1.91,2.12,1.67,1.20,1.21,1.19,96,1,5,4,2,6,6,8,8,17,3,3,2,3,6,5,3,4,5,25,7,46,11,20,0,11
Real Madrid CF,Real Madrid,2023/2024,Spain,28,14,14,0,21,12,9,6,2,4,1,0,1,2.46,2.71,2.21,1,2,1,1,60,18,42,78,42,36,35,25,7,11,28,14,42,36,50,141,180,114,14,8,6,14,6,8,1,1,0,18,10,8,170,94,76,58,24,34,59,61,57,374,212,162,206,117,89,168,95,73,290,138,152,21,11,10,11,4,7,10,7,3,12,8,4,10,3,7,6,3,3,1.64,1.93,1.36,2.79,3,2.57,2.14,2.5,1.79,0.64,0.5,0.79,1.14,1.07,1.21,0.75,0.79,0.71,0.39,0.29,0.5,27,23,15,9,3,1,13,11,8,6,3,1,14,12,7,3,0,0,1,5,13,19,25,27,1,3,6,8,11,13,0,2,7,11,14,14,96,82,54,32,11,4,93,79,57,43,21,7,100,86,50,21,0,0,4,18,46,68,89,96,7,21,43,57,79,93,0,14,50,79,100,100,20,10,2,11,4,0,9,6,2,71,36,7,79,29,0,64,43,14,75,86,64,20,50,57,43,50,43,57,4,7,0,64,71,57,20,11,9,71,79,64,12,6,6,43,43,43,4,0,4,14,0,29,43,57,29,36,21,50,21,21,21,6.07,6.71,5.43,2.07,1.71,2.43,82,75,61,36,28,28,18,11,1.99,2.27,1.73,1.06,0.82,1.30,68,4,5,5,4,7,9,9,7,10,5,2,3,0,2,2,1,1,2,21,14,29,4,0,7,4
Sevilla FC,Sevilla FC,2023/2024,Spain,28,14,14,0,6,4,2,10,5,5,12,5,7,1,1.21,0.79,14,14,14,14,35,42,-7,77,41,36,20,15,21,21,-1,-6,72,63,84,60,60,60,5,2,3,17,10,7,8,2,6,10,7,3,146,83,63,83,45,38,52,53,52,331,188,143,155,86,69,176,102,74,325,173,152,16,8,8,22,9,13,-6,-1,-5,6,4,2,12,6,6,10,4,6,1.07,1.29,0.86,2.75,2.93,2.57,1.25,1.43,1.07,1.5,1.5,1.5,1.36,1.21,1.5,0.57,0.57,0.57,0.79,0.64,0.93,26,20,14,8,5,3,14,12,7,4,3,1,12,8,7,4,2,2,2,8,14,20,23,25,0,2,7,10,11,13,2,6,7,10,12,12,93,71,50,29,18,11,100,86,50,29,21,7,86,57,50,29,14,14,7,29,50,71,82,89,0,14,50,71,79,93,14,43,50,71,86,86,18,12,6,9,6,2,9,6,4,64,43,21,64,43,14,64,43,29,21,29,14,0,18,14,21,61,71,50,29,14,43,36,50,21,14,8,6,50,57,43,18,9,9,64,64,64,6,2,4,21,14,29,21,29,14,43,43,43,36,29,43,5.21,5.93,4.50,2.96,3.21,2.71,86,82,75,46,32,25,18,14,1.58,1.77,1.39,1.40,1.32,1.47,68,3,5,2,3,5,3,3,4,7,4,5,8,3,3,6,0,7,6,36,36,36,43,36,50,7
Club Atlético de Madrid,Atlético Madrid,2023/2024,Spain,28,14,14,0,17,13,4,4,1,3,7,0,7,1.96,2.86,1.07,4,1,8,4,54,31,23,85,47,38,34,20,13,18,21,2,47,37,63,81,97,70,9,4,5,14,10,4,6,0,6,17,12,5,128,57,71,64,29,35,51,50,53,310,172,138,190,100,90,120,72,48,295,138,157,25,17,8,15,5,10,10,12,-2,12,9,3,9,4,5,7,1,6,1.61,2.21,1,3.04,3.36,2.71,1.93,2.43,1.43,1.11,0.93,1.29,1.43,1.57,1.29,0.89,1.21,0.57,0.54,0.36,0.71,27,22,17,9,5,3,14,12,11,6,3,1,13,10,6,3,2,2,1,6,11,19,23,25,0,2,3,8,11,13,1,4,8,11,12,12,96,79,61,32,18,11,100,86,79,43,21,7,93,71,43,21,14,14,4,21,39,68,82,89,0,14,21,57,79,93,7,29,57,79,86,86,22,12,4,12,8,2,10,4,2,79,43,14,86,57,14,71,29,14,61,93,29,21,32,29,36,50,71,29,21,0,43,61,86,36,17,10,7,61,71,50,11,2,9,39,14,64,6,4,2,21,29,14,43,64,21,32,29,36,25,7,43,4.57,4.07,5.07,2.29,2.07,2.50,89,86,71,46,32,21,18,11,1.58,1.69,1.45,1.37,1.31,1.42,64,4,7,4,3,11,4,8,3,10,2,4,5,3,1,4,6,2,4,14,7,21,25,0,50,11
UD Las Palmas,UD Las Palmas,2023/2024,Spain,28,14,14,0,10,6,4,7,4,3,11,4,7,1.32,1.57,1.07,9,9,11,9,29,31,-2,60,29,31,17,12,12,19,5,-7,87,74,105,81,105,66,7,5,2,12,7,5,10,3,7,14,9,5,120,70,50,71,38,33,61,62,59,241,109,132,120,62,58,121,47,74,305,155,150,10,5,5,9,1,8,1,4,-3,9,5,4,13,8,5,6,1,5,1.43,1.64,1.21,2.14,2.07,2.21,1.04,1.21,0.86,1.11,0.86,1.36,0.68,0.43,0.93,0.36,0.36,0.36,0.32,0.07,0.57,27,19,9,2,2,1,13,11,5,0,0,0,14,8,4,2,2,1,1,9,19,26,26,27,1,3,9,14,14,14,0,6,10,12,12,13,96,68,32,7,7,4,93,79,36,0,0,0,100,57,29,14,14,7,4,32,68,93,93,96,7,21,64,100,100,100,0,43,71,86,86,93,15,2,1,6,0,0,9,2,1,54,7,4,43,0,0,64,14,7,36,43,29,20,25,36,14,43,50,36,36,21,50,50,64,36,22,13,9,79,93,64,18,9,9,64,64,64,1,0,1,4,0,7,32,36,29,46,57,36,21,7,36,4.29,5.00,3.57,2.54,2.71,2.36,93,82,68,54,39,32,25,11,0.93,0.89,0.96,1.34,1.14,1.54,36,2,1,2,3,3,6,3,1,8,0,5,0,1,5,2,5,4,9,25,29,21,39,29,50,11
Deportivo Alavés,Deportivo Alavés,2023/2024,Spain,28,14,14,0,8,6,2,8,3,5,12,5,7,1.14,1.5,0.79,13,10,13,13,26,33,-7,59,31,28,15,11,16,17,-1,-6,97,84,114,76,79,74,7,4,3,12,6,6,11,4,7,13,8,5,145,87,58,58,27,31,42,43,42,291,156,135,131,64,67,160,92,68,351,181,170,12,8,4,15,8,7,-3,0,-3,6,3,3,13,7,6,9,4,5,1.11,1.14,1.07,2.11,2.21,2,0.93,1.07,0.79,1.18,1.14,1.21,0.96,1.14,0.79,0.43,0.57,0.29,0.54,0.57,0.5,26,17,8,4,2,1,14,8,3,3,1,1,12,9,5,1,1,0,2,11,20,24,26,27,0,6,11,11,13,13,2,5,9,13,13,14,93,61,29,14,7,4,100,57,21,21,7,7,86,64,36,7,7,0,7,39,71,86,93,96,0,43,79,79,93,93,14,36,64,93,93,100,18,7,1,10,4,1,8,3,0,64,25,4,71,29,7,57,21,0,29,43,14,9,25,29,21,43,43,43,39,29,50,46,57,36,16,7,9,57,50,64,19,8,11,68,57,79,3,3,0,11,21,0,21,21,21,46,50,43,32,29,36,5.18,6.21,4.14,2.07,1.93,2.21,75,71,50,39,28,28,21,21,1.31,1.40,1.23,1.37,1.18,1.55,29,4,1,2,3,3,6,0,4,3,1,2,3,4,6,2,3,3,9,29,21,36,43,36,50,14
Real Club Celta de Vigo,Celta de Vigo,2023/2024,Spain,28,14,14,0,5,3,2,9,4,5,14,7,7,0.86,0.93,0.79,17,17,15,17,30,43,-13,73,27,46,10,20,17,26,-7,-6,84,127,63,58,74,48,5,2,3,15,6,9,10,6,4,11,4,7,139,93,46,57,34,23,44,49,39,277,162,115,141,73,68,136,89,47,331,170,161,15,6,9,18,9,9,-3,-3,0,7,3,4,11,5,6,10,6,4,1.14,1,1.29,2.61,1.93,3.29,1.07,0.71,1.43,1.54,1.21,1.86,1.18,1.07,1.29,0.54,0.43,0.64,0.64,0.64,0.64,26,19,13,8,5,1,14,8,4,1,0,0,12,11,9,7,5,1,2,9,15,20,23,27,0,6,10,13,14,14,2,3,5,7,9,13,93,68,46,29,18,4,100,57,29,7,0,0,86,79,64,50,36,7,7,32,54,71,82,96,0,43,71,93,100,100,14,21,36,50,64,93,21,8,2,11,2,1,10,6,1,75,29,7,79,14,7,71,43,7,18,21,14,-7,18,14,21,54,43,64,36,43,29,39,29,50,14,6,8,50,43,57,17,9,8,61,64,57,4,2,2,14,14,14,25,21,29,39,36,43,36,43,29,4.96,6.64,3.29,2.04,2.43,1.64,93,86,79,61,46,28,18,11,1.31,1.49,1.13,1.44,1.17,1.70,71,1,4,6,2,3,4,2,3,5,2,4,4,3,6,2,4,3,15,32,29,36,50,50,50,7
Granada CF,Granada CF,2023/2024,Spain,27,14,13,0,2,2,0,8,6,2,17,6,11,0.52,0.86,0.15,19,18,20,19,30,57,-27,87,43,44,18,12,25,32,-7,-20,81,70,98,43,50,37,1,1,0,16,10,6,10,3,7,5,5,0,105,61,44,74,36,38,46,45,47,254,159,95,135,84,51,119,75,44,341,169,172,12,10,2,32,14,18,-20,-4,-16,4,4,0,8,5,3,15,5,10,0.74,1.21,0.23,3.22,3.07,3.38,1.11,1.29,0.92,2.11,1.79,2.46,1.63,1.71,1.54,0.44,0.71,0.15,1.19,1,1.38,27,22,12,11,8,5,14,13,6,5,4,1,13,9,6,6,4,4,0,5,15,16,19,22,0,1,8,9,10,13,0,4,7,7,9,9,100,81,44,41,30,19,100,93,43,36,29,7,100,69,46,46,31,31,0,19,56,59,70,81,0,7,57,64,71,93,0,31,54,54,69,69,22,13,7,11,7,4,11,6,3,81,48,26,79,50,29,85,46,23,7,14,0,16,4,7,0,59,71,46,37,21,54,19,36,0,7,5,2,26,36,15,18,7,11,67,50,85,7,5,2,26,36,15,15,29,0,30,36,23,56,36,77,3.89,4.36,3.38,2.74,2.57,2.92,81,74,48,41,30,19,11,7,1.11,1.28,0.92,1.53,1.57,1.49,85,1,1,4,2,5,2,8,1,6,5,6,6,8,9,6,5,6,6,30,43,15,63,43,85,0
Real Betis Balompié,Real Betis,2023/2024,Spain,28,15,13,0,10,7,3,12,6,6,6,2,4,1.5,1.8,1.15,7,7,9,7,34,31,3,65,34,31,21,13,13,18,8,-5,74,64,90,81,103,65,11,7,4,16,8,8,5,2,3,17,8,9,162,94,68,69,38,31,52,56,49,285,169,116,136,77,59,149,92,57,309,167,142,17,9,8,16,6,10,1,3,-2,9,6,3,13,6,7,6,3,3,1.43,1.6,1.23,2.32,2.27,2.38,1.21,1.4,1,1.11,0.87,1.38,1.18,1,1.38,0.61,0.6,0.62,0.57,0.4,0.77,24,20,10,5,4,2,13,10,5,3,2,1,11,10,5,2,2,1,4,8,18,23,24,26,2,5,10,12,13,14,2,3,8,11,11,12,86,71,36,18,14,7,87,67,33,20,13,7,85,77,38,15,15,8,14,29,64,82,86,93,13,33,67,80,87,93,15,23,62,85,85,92,19,9,3,10,3,2,9,6,1,68,32,11,67,20,13,69,46,8,36,47,23,19,39,47,31,57,53,62,18,13,23,61,53,69,16,9,7,57,60,54,14,8,6,50,53,46,7,3,4,25,20,31,32,40,23,46,40,54,21,20,23,5.79,6.27,5.23,2.46,2.53,2.38,96,89,68,54,46,46,39,25,1.37,1.53,1.19,1.38,1.08,1.71,68,6,3,1,3,5,6,4,2,4,2,2,3,4,7,1,5,1,6,43,40,46,21,13,31,11
